标题,短视频链接,f3bc7f5cffcbab3cc43c26ec2ad98e9ascss,点赞数,时长,发布者主页链接,发布者账号,发布时间
#高血糖 #糖尿病 #王世东 ,https://www.douyin.com/video/7028037124993600776,,2.5w,00:15,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1月前
肥胖是二型糖尿病的主要危险因素，要养成良好的生活习惯#减重手术 #糖尿病 #肥胖#健康 ,https://www.douyin.com/video/7039592183720152328,,523,00:46,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,2天前
糖尿bing是吃糖吃出来的吗? #医学科普  #dou出新知,https://www.douyin.com/video/6961664892021525790,,939,00:34,https://www.douyin.com/user/MS4wLjABAAAAWJrXqbHo1qCxjrMOhyrZkvjhAXRb5sK_XjfeRj5Yg-H6ZXGVs2_pXsqVr5tj5f8W,内分泌科医生黄佳娜,6月前
#健康真相官 肥胖容易导致II型糖尿病，是真的吗？@健康中国 @科学辟谣,https://www.douyin.com/video/6891881975011921160,,14,00:32,https://www.douyin.com/user/MS4wLjABAAAAO1jP0FHpShpQClEPWbx15W7U7A54yaosdedtD6-LPMAVq7n26XszY2xjk6hBi6NF,减重手术专家李良辉,1年前
血糖总是忽高忽低要当心  血管受损伤#健康 #中医 #高血糖 ,https://www.douyin.com/video/7034307723491609863,,2234,00:32,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2周前
糖友为什么胃口越来越差了?  #医学科普  #dou出新知,https://www.douyin.com/video/6973840460993334564,,971,00:35,https://www.douyin.com/user/MS4wLjABAAAAWJrXqbHo1qCxjrMOhyrZkvjhAXRb5sK_XjfeRj5Yg-H6ZXGVs2_pXsqVr5tj5f8W,内分泌科医生黄佳娜,5月前
糖尿病患者小腿肚疼痛，小心这个并发症#糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/7037375059568102687,,4141,00:33,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,1周前
吃降糖药，打胰岛素，血糖还控制不好的原因可能是这些,https://www.douyin.com/video/6825876691966102788,,1517,01:30,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
血糖 白天夜间都不错 早上5点后偏高 原因原来是这样！#dou是知识点,https://www.douyin.com/video/6769482825314929933,,1359,01:09,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
空腹血糖竟然比餐后还高？快看看是哪里的问题？#暑期知识大作战 #糖尿病科普 #糖尿病 @抖音小助手,https://www.douyin.com/video/6869691690559622404,,1018,01:16,https://www.douyin.com/user/MS4wLjABAAAAFgcTUNc9G87_JOZ5iEDyhHsTyhL516SRVaVorajCMW56YiGspUzqY5auDtPbXvBT,内分泌科陈树春,1年前
胰岛素抵抗是二型糖尿病的病理基础 #糖尿病,https://www.douyin.com/video/6831458060452580611,,2463,01:10,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
继发性糖尿病,https://www.douyin.com/video/6967277900403920139,,2,02:14,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
#糖尿病 为什么要少喝汤？#健康科普 #四川 ,https://www.douyin.com/video/7039266217303051556,,2194,01:01,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2天前
为什么糖尿病神经病变会没有食欲#糖尿病 #糖尿病病变 #没有食欲 #科普 #涨知识 #健康科普,https://www.douyin.com/video/6916419058388700431,,127,01:38,https://www.douyin.com/user/MS4wLjABAAAA6A1BZxtehIHIJXmQ2Sd96jdukLuBcI7UrLO_U3aJfTD9KzpO3BHQhaVl1S6ch5aU,TJTV百医百顺,10月前
#糖尿病 居然导致这么严重的后果！！#动脉硬化 @南方健康,https://www.douyin.com/video/6867893795833318670,,453,00:50,https://www.douyin.com/user/MS4wLjABAAAAw2rRw6dcCidRDmX_Gv5EPU0btH_zZGc2-BDfMwqfuafLEz3UJV1sT_YYgWdIc6bw,宣武医院神经内科徐敏医生,1年前
#糖尿病 患者总是感觉#吃不饱 是什么原因？,https://www.douyin.com/video/6952811289370529059,,421,00:45,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,7月前
为什么吃了药血糖还是高#糖尿病 #糖尿病科普 ,https://www.douyin.com/video/7012111552056806692,,482,00:20,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,2月前
吃糖过多不一定得糖尿病，少吃糖也不一定就得糖尿病！四大原因，你不得不知道！#糖尿病#高血糖#肥胖,https://www.douyin.com/video/6889009546908454158,合集,191,00:19,https://www.douyin.com/user/MS4wLjABAAAAvkODZxbpLmTL5Tb5lhOW3rGqaqlU0U3oDEj9f5dCtTafIfBQRTq0tMkqcoTKrQlA,心动力姚医生,1年前
血糖胡搞忽低，多半是因为这个原因#医学科普 #中医  #高血糖,https://www.douyin.com/video/6955758406246354189,,179,00:50,https://www.douyin.com/user/MS4wLjABAAAAMCGSK0P_sVJbG4d8WH8W21z_wHNjOPRivf8fOrVBU5s,一帆说肾,7月前
这些健康谣言，你还在傻傻相信吗？#每天进步一点点 @熊露大夫,https://www.douyin.com/video/6772084652409703688,,107,00:37,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,1年前
糖尿病15年，因洗脚未注意水温，被烫，导致足部溃烂！#医学科普 ,https://www.douyin.com/video/6995709825950797063,,58,00:56,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,3月前
#糖尿病足是怎么回事？#医学科普 @抖音小助手,https://www.douyin.com/video/6844494692789308684,,10,01:00,https://www.douyin.com/user/MS4wLjABAAAAKJxWnZvYVM27m33BYcT1VxYI1j9gSk-wqQX_ZkZ3F5s,一鸽,1年前
#医学科普  #糖尿病   #血糖,https://www.douyin.com/video/6915361282220690695,,393,00:22,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,11月前
糖尿病前期不注意这些指标，就会形成糖尿病。#中医 #糖尿病,https://www.douyin.com/video/6924579715219197198,,2102,00:15,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
二型糖尿病不一定是因为肥胖导致，但是肥胖的人更容易得二型糖尿病。#二型糖尿病 #肥胖 #涨知识 ,https://www.douyin.com/video/6989070231847193870,,185,00:28,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#糖尿病 还会并发#低血糖 ？原因有哪些？,https://www.douyin.com/video/6989150903852895528,,160,00:28,https://www.douyin.com/user/MS4wLjABAAAA4Urwu3MyXnHudTE61rsipScMW3E4zzGrVjNxa6SDX_k,全科医生王勇,4月前
糖尿病和视网膜有关系？老教授为你解答！很重要！#健康真相官 #医者名片 @DOU+小助手 #儿科霍医生,https://www.douyin.com/video/6896034239976934669,,31,00:21,https://www.douyin.com/user/MS4wLjABAAAAKn4iRJ0xVNiEwPO-x49nGj6yULJahkzG7cQFRNGnbKk,眼科董教授,1年前
妊娠糖尿病的一些高发因素，你中了吗？评论区告诉我吧！#我为医者 #孕期知识 #妊娠期糖尿病 #我要上热门,https://www.douyin.com/video/6847034563508702472,,699,00:33,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,1年前
糖尿病和B起功能Z碍有关吗？#涨知识 #健康科普 @震洋健康 @中医谭医生 ,https://www.douyin.com/video/7010727028001492237,,109,00:35,https://www.douyin.com/user/MS4wLjABAAAAw0IOGuSKZNYD69Atkvic6SJRU7-9e2VxwDp89JO69oI,徐志强医生,2月前
为啥血糖高了会对人造成危害，看完这个视频你就懂了#糖尿病 #医学科普,https://www.douyin.com/video/6906784973194349832,合集,1887,00:51,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,11月前
#医学科普 糖尿病人群足部出现了破口，就一定是糖尿病足吗？听听王江宁教授怎么说！#涨知识 #涨知识 ,https://www.douyin.com/video/7007689041546104071,,39,02:14,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,2月前
餐后血糖12.6，小姑娘心里崩溃#高血糖 #糖尿病 #王世东 ,https://www.douyin.com/video/7003241092388769055,,1290,00:34,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,3月前
血糖高 是怎么伤肾的？@DOU＋ @抖音小助手,https://www.douyin.com/video/6823276738408271108,,932,01:03,https://www.douyin.com/user/MS4wLjABAAAA9BoUj5V8BAnPRzyewUVbTcEA_OIcucBkmfDFNBqKTJY,lntv健康一身轻,1年前
医生提醒！越吃越饿？可能糖尿病找上门,https://www.douyin.com/video/6858180252548533511,,2.0w,01:01,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,1年前
#2019生机大会 #清风计划 #糖尿病 糖尿病还有四大帮凶,https://www.douyin.com/video/6750267537000303884,,3578,01:40,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
#糖尿病 糖尿病不一定全是高血糖，经常低血糖，也可能患上糖尿病 #低血糖  #医学科普,https://www.douyin.com/video/6887435460818373899,,1263,00:44,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
#糖尿病科普 平时不吃甜食不吃糖，怎么会得糖尿病呢？其实这些原因才是罪魁祸首！,https://www.douyin.com/video/6902652235256253696,,11,01:41,https://www.douyin.com/user/MS4wLjABAAAAAVTmFGi9yyDkWBeSJalGlPHZudKxznN-KvShB7POx8crHYyYEgVa6qMunFm-nTSs,减重医生杨小兔,1年前
糖尿病患者血糖忽高忽低，应该怎么做？#糖尿病 #高血糖 #健康,https://www.douyin.com/video/6959101979041844510,,423,00:56,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,7月前
刚得糖尿病特别瘦，但最近越来越胖是怎么回事？#健康大咖来了#健康中国科普北京协和医院内分泌科主任医师肖新华,https://www.douyin.com/video/6992090387615714564,合集,1070,01:04,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,4月前
为什么糖尿病患者容易患冠心病  #健康养生控糖  #糖尿病饮食,https://www.douyin.com/video/6898221287097814285,,7,05:10,https://www.douyin.com/user/MS4wLjABAAAAsRPT6herJ9dFHDgA1V8byBJQgzm78h63l_4-GxlGals,保健时报,1年前
糖尿病人为什么会皮肤瘙痒#糖尿病#科普知识,https://www.douyin.com/video/6993599421816589575,,199,00:06,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,4月前
#糖尿病 经常感觉到浑身无力，到底是怎么回事？#抖音小助手 #医学科普 #医生 #健康 #糖尿病科普,https://www.douyin.com/video/6873419520506072335,合集,509,00:33,https://www.douyin.com/user/MS4wLjABAAAAB_AOSNvr-Kqv1CI5voPzjorpLGHScaNO4eVECLDootc,内分泌科孙医生,1年前
糖尿病反复发烧为什么 @震洋健康  @中医陈其华医生 #健康真相官  #知识创作人,https://www.douyin.com/video/6900838293320011016,,321,00:42,https://www.douyin.com/user/MS4wLjABAAAAIWrqtjZIcosga2_-czt6XAHsNoFIfbgxdDow_IxhNeHK3kqMP9Bp8JFj0OQ8gk8g,袁光雄医生,1年前
糖尿病多是阴虚为本 燥热为标 #糖尿病  #高血糖 #科普 #健康  #中医,https://www.douyin.com/video/6970571386255330596,,1275,01:05,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,6月前
糖尿病人夜间睡不好会造成早上空腹血糖高#糖尿病 #空腹血糖 #失眠 ,https://www.douyin.com/video/6995727536181366030,,3187,00:22,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,3月前
血糖像过山车，原因你可能想不到#健康真相官 #医者名片 #南方健康@南方健康 @抖音小助手,https://www.douyin.com/video/6890873581119622412,,1290,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
心血管病糖尿病等慢性疾病诱发原因之一 #健康 #养生 #维生素,https://www.douyin.com/video/6800300604813004032,,6.8w,00:56,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,1年前
早上#空腹血糖 高，你知道什么原因吗？#中医 #生活,https://www.douyin.com/video/6899673324461280520,,223,00:31,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1年前
#糖尿病百“课”：稳糖策略（二）,https://www.douyin.com/video/6829145802900901127,,3,03:00,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,1年前
什么是糖尿病？糖尿病的危害有哪些？糖尿病的病因有哪些？#糖尿病,https://www.douyin.com/video/6772049817783880963,,10,00:51,https://www.douyin.com/user/MS4wLjABAAAAbsKyFKb-g-Vw6Rlxjjh3QyEfArfmU1W7E9uRnR9NC40,广医三院,1年前
胰岛素抵抗是怎么回事,https://www.douyin.com/video/6948608573169536286,,55,03:18,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,8月前
糖尿病患者你被忽悠了,https://www.douyin.com/video/6955221686669102348,,2.1w,05:01,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,7月前
老年病年轻化，到底为什么？#糖尿病,https://www.douyin.com/video/6987597993406942477,合集,376,01:10,https://www.douyin.com/user/MS4wLjABAAAAiCLlJaIyM0wiU4c4mLD2Yx6d5DmAM1z_cOTQ6aogpMatzupUQTqtn12PCNZISvu3,群聊卒中,4月前
糖尿病神经病变感染，糖尿病足悄悄进入身体，到底是什么在作怪？,https://www.douyin.com/video/6967284936030129439,,10,01:37,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,3年前
讲究人，为何控制不了#血糖 #糖尿病,https://www.douyin.com/video/6856699006618209551,,309,00:21,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,1年前
出现这些症状，要警惕可能有糖尿病 #糖尿病 #医学科普,https://www.douyin.com/video/6868958200511630599,,3897,00:40,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
#李焱主任 糖尿病患者出现手脚麻木是怎么回事 #糖尿病  #糖尿病并发症 #医学科普,https://www.douyin.com/video/6967565060214426916,合集,7854,00:35,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,6月前
#胰腺 ，分泌功能丧失，导致#糖尿病 ，要监测#血糖 ，控制饮食增加运动，规律用#胰岛素 @抖音小助手 ,https://www.douyin.com/video/6997281962117319973,,706,00:39,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,3月前
#糖尿病 并发症并不是单方面的，与这些关系密切，关注#健康 #健康养生,https://www.douyin.com/video/6882944690824416524,,855,00:35,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
2个月瘦了20斤原来是严重糖尿病#医学科普 #糖尿病 #消瘦 @DOU+小助手,https://www.douyin.com/video/7040006449925311755,,500,01:06,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,22小时前
血糖高高低低，就像血管在坐过山车 #糖尿病 #血糖 #糖尿病并发症 ,https://www.douyin.com/video/6981632055163505957,合集,2434,00:35,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
糖尿病引起肾脏肿大#医学科普 #健康 #糖尿病,https://www.douyin.com/video/6916445854110977284,,592,00:48,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,10月前
下面有异味有炎症有可能是糖尿病导致的#医学科普 #健康 #男性  #知识合伙人,https://www.douyin.com/video/6972487333161602340,,658,00:30,https://www.douyin.com/user/MS4wLjABAAAAAFxNd7N3v3vYkvq6J2IQkU0U9I2L19AnaLsGC_RlBc4,袁轶峰大夫,5月前
糖尿病饮酒后发生低血糖的原因#科普知识 ,https://www.douyin.com/video/6979517657544510733,,827,00:21,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,5月前
你知道吗，体重正常但是腰围偏大，也可能导致高血糖，甚至糖尿病！#糖尿病 #医学科普 #健康 #健康dou起来,https://www.douyin.com/video/6892947110954568975,,188,00:21,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,1年前
#尿蛋白或是#糖尿病引起  #健康  @DOU+小助手 #暑期知识大作战,https://www.douyin.com/video/6861838689803242760,合集,580,01:02,https://www.douyin.com/user/MS4wLjABAAAAMCGSK0P_sVJbG4d8WH8W21z_wHNjOPRivf8fOrVBU5s,一帆说肾,1年前
14岁糖尿病，医生的忠告#医学科普 #2021顺顺利利 #健康科普,https://www.douyin.com/video/6930915181044256003,,7729,00:58,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,9月前
血糖高不可怕，长期高血糖引起的并发症可怕#清风计划 #糖尿病 @头条健康 @南方健康,https://www.douyin.com/video/6757696057351703812,,1117,00:59,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
糖尿病出现”三多一少“症状，为啥我还是胖了？#健康 #科普 #糖尿病 ,https://www.douyin.com/video/6982857656331488543,,204,00:33,https://www.douyin.com/user/MS4wLjABAAAA4Urwu3MyXnHudTE61rsipScMW3E4zzGrVjNxa6SDX_k,全科医生王勇,4月前
糖尿病为什么会引发白内障？#健康科普 #白内障 #山大二院,https://www.douyin.com/video/6969857161325317406,,6,00:31,https://www.douyin.com/user/MS4wLjABAAAAOKcokgbRMt2z6lExtVNwRTFCQx9859rqWFtTaQkKa481v1WZoIHOVef465wFw6Pj,眼科医生杨丽霞,6月前
#餐后血糖 高你知道你的问题出在哪里吗？是它在作怪…#糖尿病 #医学科普 #糖尿病科普,https://www.douyin.com/video/6940169910190492968,,4947,00:42,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,8月前
用了胰岛素，餐后血糖比餐前低，可能是因为胰岛素用量的问题#糖尿病科普,https://www.douyin.com/video/6915016624777071885,,954,00:36,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,11月前
糖尿病人的血糖自我调节能力差造成黎明现象#糖尿病 #黎明现象 ,https://www.douyin.com/video/7008851111553617189,,1047,00:35,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,2月前
糖尿病会引起脑中风？以下四方面是原因！,https://www.douyin.com/video/6812544216174972160,,100,00:51,https://www.douyin.com/user/MS4wLjABAAAAlMofssZe6xQOBt9W_D4tWbTC_JVNtDlkSy9IblmkoTo,天坛晓川大夫,1年前
#糖尿病 #血糖 血糖怎么总波动,https://www.douyin.com/video/6976812413341437199,,1670,00:35,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,5月前
糖尿病人群，为什么会成为肾病的高发人群,https://www.douyin.com/video/7012523080425671939,,357,00:45,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,2月前
,,合集,183,00:47,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,5月前
#李焱主任 腰粗腿细的人是不是容易得糖尿病呢 #糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/6958266857937734943,合集,2089,00:34,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
到底什么是假性#糖尿病 呢？#糖尿病科普 #糖尿病并发症,https://www.douyin.com/video/6930561690601901327,,1193,00:50,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,9月前
血糖波动很大，您就要看看，到是这些细节哪个没做好？(仅供参考，如有不适线下就医)#医学科普 #健康科普 #糖尿病 @抖音小助手 ,https://www.douyin.com/video/7029274268772912392,,2120,02:10,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,4周前
运动之后为什么血糖更高了 #控糖 #糖尿病 #运动,https://www.douyin.com/video/6945255614457122056,,861,00:20,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,8月前
主食不是血糖高唯一因素 #糖尿病  #高血糖    #医学科普 #王世东 ,https://www.douyin.com/video/7015777862091296030,,2103,00:28,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,2月前
低血糖是什么原因？#糖尿病 #低血糖 ,https://www.douyin.com/video/6987666383328857351,,1116,00:47,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,4月前
糖尿病腿没劲走不了路是怎么回事呢？  @震洋健康   #知识创作人  #健康真相官,https://www.douyin.com/video/6893083123425266955,,103,01:33,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,1年前
身体出现这个异常，可能是血糖升高了。#糖尿病 #中医,https://www.douyin.com/video/6922021470679993614,,536,00:26,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
#糖尿病 造成的危害！@李平 ,https://www.douyin.com/video/6976439267807563015,合集,290,01:11,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,5月前
糖尿病患者感觉很饿，血糖并不低？#健康科普#中医谢培凤 主任讲解！#糖尿病#医学科普@抖音小助手 ,https://www.douyin.com/video/7018468536955800868,,66,00:44,https://www.douyin.com/user/MS4wLjABAAAAxQRV8lRXjPc3TO2eeXPdfQLxnqAHyqdtMqzSByAyq50,内分泌科谢培凤医生,1月前
糖尿病患者脚上起水pao怎么回事？ #糖尿病 #医学科普 #科普,https://www.douyin.com/video/6956540844082089223,,1258,00:47,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
糖尿病浑身疼是怎么回事？#糖尿病 #医学科普 #健康科普,https://www.douyin.com/video/7031200351005035784,,3728,00:40,https://www.douyin.com/user/MS4wLjABAAAAq5_kflNF3V6wJJSVx0hVSlY3Z84ybCISMNYXnxWm5y4,吕军医生,3周前
#糖尿病 的误区#健康 #中医 ,https://www.douyin.com/video/7013571783441845517,,4584,00:06,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,2月前
